keyword_id,rule_version_id,type,keyword,keyword_category,data_type_focus,verdict,weight,created_at
f172f070-3596-4529-997e-90ca4c682992,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,DISEASE,조현병,DATA_TYPE,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
4fddc887-303f-4bf9-922d-434187baffba,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,상담,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
0f0efe9c-122c-41c9-a080-0c049c083596,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,조언,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
58b14177-0e38-4a12-8b5c-77c1287a5c1d,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,질병 치료,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
57f11d64-e33c-46ef-a054-e36a2d525287,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,물리요법적 치료,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
95426919-7d67-4e49-b6de-9aa53e5b6459,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,의약품 복용 제시,TREATMENT,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
4e66e3a2-eda7-4c7d-b5f7-3e73373e2c6e,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,PROHIBITED_ACTION,질병 유무 확인,OTHER,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
22079a67-95a5-4cc5-85ab-a9113fb9105b,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,DISEASE,암,DATA_TYPE,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
e19264a2-7612-4e6c-99c8-b6df812ad216,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,DISEASE,대사증후군,DATA_TYPE,NONE,FAIL_CANDIDATE,4,2026-08-14 04:05:00.136263+00:00
e5af0749-afa3-46eb-9008-37cf5738d0fc,f3fd8a09-8a3f-4227-bcf9-858ac2c26b88,DISEASE,심전도,DATA_TYPE,NUMERIC,CONTEXT_CHECK,2,2026-08-14 04:05:00.136263+00:00
